,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
124,124,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,941472.0,1173.0,701841,22.481,0.03696,3.619,20.001,15.993,19.995,1755841,4012175,3139037,9997458,18904511,1755841,4012175,9997458,3139037,0.7363119
127,127,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,929145.0,1090.0,352577,22.451,0.03309,3.613,20.0,16.004,19.998,1752357,4020753,3140735,9999116,18912961,1752357,4020753,9999116,3140735,0.73629314
132,132,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,945267.0,1128.0,688658,22.469,0.03865,3.615,19.995,16.002,20.005,1752924,4017916,3140031,10002419,18913290,1752924,4017916,10002419,3140031,0.73636496
134,134,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,931890.0,1075.0,376277,22.453,0.03373,3.618,20.007,15.99,20.004,1755228,4020044,3130734,10001864,18907870,1755228,4020044,10001864,3130734,0.7358412
135,135,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,935703.0,1112.0,398341,22.46,0.03526,3.61,19.996,16.0,20.004,1751133,4012713,3139429,10001823,18905098,1751133,4012713,10001823,3139429,0.73625875
136,136,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,939485.0,1153.0,764122,22.478,0.03622,3.612,19.991,16.006,20.002,1751142,4016755,3145500,10000898,18914295,1751142,4016755,10000898,3145500,0.7367891
138,138,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,931187.0,1116.0,903675,22.478,0.0338,3.616,20.0,16.001,20.01,1753737,4013878,3142928,10004959,18915502,1753737,4013878,10004959,3142928,0.7365043
139,139,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,933964.0,1085.0,399977,22.498,0.03453,3.611,20.006,16.011,19.999,1751169,4017017,3146268,9999512,18913966,1751169,4017017,9999512,3146268,0.7367538
142,142,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,928041.0,1077.0,938456,22.476,0.03259,3.619,19.999,16.001,20.002,1755576,4013960,3147924,10000899,18918359,1755576,4013960,10000899,3147924,0.7365151
146,146,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,937260.0,1032.0,185622,22.477,0.03566,3.612,19.997,15.988,20.003,1752482,4018031,3139584,10001618,18911715,1752482,4018031,10001618,3139584,0.73644435
