,data_points,rmsd,rmpse,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
13661,1516,5104.484988371391,0.0501724543156512,0.9942596134089866,2.1458580449205323e-151,0.942266335814723,3.026337458486975e-68
6661,1516,5593.701502924791,0.0541763254881013,0.9948570435112452,4.637474651180424e-155,0.9432588916459884,2.1926558632067704e-68
13161,1516,4869.823631504105,0.0480871758272877,0.9927676186562564,1.079966879471447e-143,0.9344913151364764,3.733390196605248e-67
2661,1516,5886.0809475157885,0.0573255800163599,0.9933524047351868,1.6729398684551436e-146,0.9374689826302728,1.4297616004627245e-67
7161,1516,5449.393282968126,0.0525719660136068,0.9927138815571114,1.9058113253494481e-143,0.933498759305211,5.137563546015274e-67
4661,1516,5233.651627094998,0.0515254580616139,0.994167944239857,7.242755953371715e-151,0.942266335814723,3.026337458486975e-68
14662,1526,5910.866800364161,0.0576667259110327,0.9949487126803748,1.165061374795115e-155,0.9467328370554178,7.079516266976654e-69
5662,1526,6745.309033200305,0.06490571143433,0.9933966588168356,1.0019349337167854e-146,0.9381306865177832,1.1546587774059188e-67
13662,1526,6231.565647412972,0.0600958923368351,0.9947021542254744,4.5290721510738245e-154,0.9449131513647644,1.2805612877770239e-68
2662,1526,5110.575782060033,0.0495402394565566,0.9895086216434068,2.6274269576623854e-131,0.920264681555004,3.5114619089587413e-65
1162,1526,5785.453138232875,0.0560589073735325,0.9948570435112452,4.637474651180424e-155,0.9455748552522748,1.0324248936867288e-68
6162,1526,6681.83926798596,0.0638970561455174,0.9948317554645888,6.7591835521160256e-155,0.9457402812241522,9.78279214983532e-69
12162,1526,5381.391139666485,0.0524961191410127,0.9950877969369852,1.3643841561828626e-156,0.9488833746898264,3.508916382024299e-69
7662,1526,5001.696115675207,0.0495658828331418,0.993314472665202,2.589017385110965e-146,0.9379652605459058,1.2180419685441018e-67
12662,1526,5751.942282838421,0.0563559046774082,0.994559908963032,3.4650832114073176e-153,0.9455748552522748,1.0324248936867288e-68
662,1526,5698.139968608302,0.0552853158583362,0.9934029808284996,9.30918255186366e-147,0.9382961124896608,1.0945636061204707e-67
9662,1526,5975.121832932281,0.0578878365317731,0.9947084762371384,4.132219021818428e-154,0.9467328370554178,7.079516266976654e-69
