,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
132,132,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,945267.0,1128.0,688658,22.469,0.03865,3.615,19.995,16.002,20.005,1752924,4017916,3140031,10002419,18913290,1752924,4017916,10002419,3140031,0.73636496
2304,2304,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,883903.0,999.0,843071,22.17,0.01692,7.243,19.993,16.001,19.999,3618989,3929412,3125383,9999690,20673474,3618989,3929412,9999690,3125383,0.72803426
3228,3228,trinidad and tobago,1000000,1000,2020-01-01,2020-12-31,hybrid,963749.0,4787.0,982805,37.062,0.03762,2.547,20.019,16.0,20.0,1144762,2113454,4713356,9999973,17971545,1144762,2113454,9999973,4713356,0.92672074
1247,1247,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,958488.0,11701.0,130166,45.458,0.0335,2.047,19.992,15.999,19.994,828241,1533777,4530376,9996871,16889265,828241,1533777,9996871,4530376,1.0219309
1278,1278,albania,1000000,1000,2020-01-01,2020-12-31,hybrid,957062.0,6384.0,337303,38.977,0.03244,2.559,20.005,15.997,19.994,1151414,2042591,4564603,9996932,17755540,1151414,2042591,9996932,4564603,0.9553769
2294,2294,gambia,1000000,1000,2020-01-01,2020-12-31,hybrid,877119.0,1018.0,423731,22.187,0.01646,7.227,20.016,15.999,20.006,3610852,3922777,3131256,10002869,20667754,3610852,3922777,10002869,3131256,0.7283631
958,958,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,930443.0,1460.0,88453,23.766,0.03173,3.711,20.0,16.0,20.0,1805160,3822777,3306420,10000093,18934450,1805160,3822777,10000093,3306420,0.7568479
3329,3329,maldives,1000000,1000,2020-01-01,2020-12-31,hybrid,972206.0,2012.0,436641,30.749,0.03208,4.449,20.015,16.007,19.99,2197291,2158952,5302284,9995186,19653713,2197291,2158952,9995186,5302284,0.8936667
519,519,kyrgyzstan,1000000,1000,2020-01-01,2020-12-31,hybrid,789432.0,1895.0,859472,28.591,0.01522,3.347,20.008,16.004,20.006,1606100,2963729,4083355,10002939,18656123,1606100,2963729,10002939,4083355,0.8151599
136,136,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,939485.0,1153.0,764122,22.478,0.03622,3.612,19.991,16.006,20.002,1751142,4016755,3145500,10000898,18914295,1751142,4016755,10000898,3145500,0.7367891
