,data_points,rmsd,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
11873,397,5966.585071827181,0.99388029270914,2.918740634171575e-149,0.9376344086021504,1.3553992353480521e-67
4388,397,7036.539754671516,0.9950688309019928,1.834395163496266e-156,0.9470636889991728,6.355523151367102e-69
6384,397,5465.503602331472,0.9946989932196424,4.7413752470798876e-154,0.9429280397022332,2.4413817823095422e-68
10875,397,6104.424234743297,0.9845648085220716,1.777440650779643e-118,0.9002481389578164,1.8667157135778104e-62
2891,397,6238.900684128198,0.9887657852728736,4.95504269680555e-129,0.9134822167080232,2.9902146453735257e-64
12872,398,4318.591914427574,0.9923472048805928,8.241789486271266e-142,0.9321753515301904,7.859614983320486e-67
7383,398,4850.171219178411,0.9912155647927168,3.230951472826386e-137,0.9262200165425972,5.28541750553912e-66
2393,398,5502.415473511052,0.995302745333565,4.386993150854474e-158,0.9497105045492142,2.6776111156424037e-69
3391,398,6260.238721671152,0.99444927375891,1.6261731155815941e-152,0.9430934656741108,2.3136897374567677e-68
8880,398,4447.971696611176,0.9909152692386716,4.250885894020247e-136,0.924731182795699,8.495236205554138e-66
6385,398,6801.58115159951,0.9943007064848034,1.2360137108718352e-151,0.9416046319272128,3.750886701281671e-68
6884,398,7493.395656407421,0.9935515481026062,1.6204438291902634e-147,0.9373035566583954,1.5081896473430692e-67
2892,398,5486.784402436913,0.9887973953311944,3.993369731650481e-129,0.9141439205955336,2.4280106737579223e-64
9878,398,7571.769764433156,0.9933587267468508,1.5551264211326128e-146,0.940281224152192,5.759329813850019e-68
1894,398,5241.167947802132,0.9955240157418088,1.0769661875102323e-159,0.9483870967741936,4.126477972216934e-69
4389,398,5111.720401955455,0.9940256989774146,4.6069993678695713e-150,0.941439205955335,3.957563833535721e-68
14868,398,4830.997758154343,0.9952742962810766,6.976312361125367e-158,0.948221670802316,4.3555222384863627e-69
397,398,4242.248434367643,0.992179671571494,4.3396984035367366e-141,0.9305210918114144,1.3361044498360382e-66
13870,398,4282.4120441223895,0.9915948854925636,1.0950401738443588e-138,0.927874276261373,3.1167165559591793e-66
13371,398,4827.591800050856,0.994120529152376,1.3486689188191753e-150,0.9396195202646817,7.134989869417577e-68
896,398,4849.0127646277215,0.990535948538825,9.776403502160448e-135,0.921091811414392,2.701342384255309e-65
5387,398,5378.376909002996,0.9944619177822382,1.3649343922562039e-152,0.9432588916459884,2.1926558632066465e-68
11375,398,6288.399777829475,0.9912882679268542,1.708446077892608e-137,0.9265508684863524,4.755929713739648e-66
10377,398,6465.483666143308,0.9905011774746724,1.2949303106100377e-134,0.924731182795699,8.495236205554138e-66
4888,398,3695.310754752855,0.9915316653759224,1.945283105453941e-138,0.9280397022332508,2.956219969938461e-66
10876,398,6934.735046608174,0.9917782238308228,2.018014243694987e-139,0.9282051282051282,2.8039619696897365e-66
5886,398,5794.08054596487,0.9953722874618702,1.3948164880365784e-158,0.949048800661704,3.3242681505831813e-69
12373,398,3926.0634202587535,0.9906939988304276,2.688986296903248e-135,0.923573200992556,1.228131259677946e-65
3890,398,7037.277540756432,0.995691549050908,5.744440075694582e-161,0.9515301902398676,1.475888371352198e-69
1395,398,5642.9473450537935,0.9939782838899336,8.452748724469101e-150,0.9387923904052936,9.323492685187048e-68
14369,398,4396.187948315844,0.9926727884812946,2.9341390033637565e-143,0.9348221670802316,3.356239255103125e-67
8381,398,5035.918748506863,0.9931153292977823,2.4628480591630714e-145,0.9366418527708852,1.8671731745517072e-67
11874,398,5367.648845572754,0.9914874112942736,2.901076047128874e-138,0.9268817204301076,4.279325218930658e-66
9379,398,4659.541024785023,0.9948602045170772,4.423573795828767e-155,0.9447477253928868,1.35137437017172e-68
7882,398,5145.092393718649,0.993886614720804,2.696092571046441e-149,0.939454094292804,7.527288263627986e-68
8382,399,5012.626513961935,0.9872137314093344,9.933400256856183e-125,0.9086848635235732,1.347511240925247e-63
9879,399,4314.040114165499,0.993823394604163,5.939428377854372e-149,0.9382961124896608,1.0945636061204394e-67
2394,399,5126.268149022181,0.9933018286418736,2.993045686297785e-146,0.9341604631927212,4.1527672261238126e-67
7883,399,5096.504592874442,0.9896571889175134,8.811070660958668e-132,0.9181141439205956,6.937035743696224e-65
4390,399,6975.990943381991,0.986682682429549,2.234635810635403e-123,0.906699751861042,2.506586360663362e-63
12374,399,5217.586173509288,0.9920532313382115,1.4850504135436664e-140,0.9311827956989248,1.0807208920347536e-66
5887,399,5164.728714434283,0.995144695041962,5.5752113569748566e-157,0.9462365591397848,8.32245592984968e-69
6386,399,7085.647320999668,0.9929983720819964,8.971118081673233e-145,0.937138130686518,1.590904885766138e-67
398,399,5470.491538565572,0.99275813563876,1.1941907816201098e-143,0.9331679073614558,5.714031356820737e-67
13871,399,4588.176676869076,0.9933081506535378,2.783806725818553e-146,0.9359801488833748,2.3112567080990404e-67
10877,399,8358.97756351002,0.9913641320668236,8.736884000588661e-138,0.925889164598842,5.873634341631872e-66
9380,399,5651.49829424859,0.9942121983215058,4.035606871795191e-151,0.9432588916459884,2.1926558632066465e-68
6885,399,6259.751058961453,0.9924293910322264,3.5999090493968094e-142,0.9313482216708024,1.0248768097804828e-66
897,399,5099.917770253659,0.9910701585244424,1.137506730548353e-136,0.9229114971050456,1.5157358580662949e-65
14370,399,5963.36927643194,0.993150100361935,1.669881922800717e-145,0.9356492969396196,2.5713167591488572e-67
11376,399,4175.010260313342,0.9924515180730508,2.8758836346587172e-142,0.9323407775020678,7.453066477442662e-67
2893,399,5370.310958757262,0.9943734096189408,4.611903785946671e-152,0.9439205955334988,1.7684436609475347e-68
14869,399,5049.825174142076,0.9944081806830932,2.8651754712524493e-152,0.9444168734491316,1.504922368281267e-68
1396,399,7035.168742338642,0.9926885935104548,2.486157189673898e-143,0.9336641852770884,4.871451703423087e-67
1895,399,4014.39836970328,0.9948538825054132,4.8615772142616034e-155,0.9462365591397848,8.32245592984968e-69
8881,399,5684.362968633516,0.9951162459894738,8.73305898542088e-157,0.9477253928866832,5.121509112984326e-69
4889,399,6559.86852578483,0.9888732594711636,2.373293250240742e-129,0.917948717948718,7.309548420686969e-65
13372,399,6495.352434872108,0.9885729639171184,1.8238377599916887e-128,0.9146401985111664,2.0766775800820816e-64
7384,399,5148.695338419165,0.994335477548956,7.725859231143647e-152,0.9440860215053763,1.6758542736676126e-68
3392,399,5618.675272505358,0.9914842502884416,2.9848514696554e-138,0.9273779983457404,3.652200378093755e-66
11875,399,4546.2675956124485,0.990608651672962,5.4135846712067064e-135,0.9230769230769232,1.438086266207634e-65
12873,399,6853.195441840935,0.9914716062651134,3.3444994447114924e-138,0.925889164598842,5.873634341631872e-66
10378,399,4200.91360494574,0.9907256088887484,2.07168301935104e-135,0.924731182795699,8.495236205554138e-66
3891,399,4269.297015550788,0.994288062461475,1.4652897507376583e-151,0.942597187758478,2.718220347460284e-68
5388,399,6456.479742669144,0.9947242812662987,3.2840478741619345e-154,0.9459057071960296,9.269645350871519e-69
10379,400,4752.848487869002,0.99115866668774,5.300310145033968e-137,0.9240694789081886,1.0487405013311034e-65
12874,400,6928.232640803638,0.9909247522561676,3.923825070089947e-136,0.923904052936311,1.1054294263403365e-65
11377,400,5772.825927282932,0.991730808743342,3.13651577352022e-139,0.9293631100082712,1.9360023522397884e-66
10878,400,6735.2125591827535,0.99514153403613,5.861029469323164e-157,0.948221670802316,4.3555222384863627e-69
9381,400,7022.347072345623,0.9947748573596116,1.5671384296550232e-154,0.9459057071960296,9.269645350871519e-69
7884,400,6732.028102625159,0.9944619177822382,1.3649343922562039e-152,0.944251447477254,1.5880976659904202e-68
8383,400,6133.034589999682,0.9906149736846264,5.141258363750121e-135,0.9230769230769232,1.438086266207634e-65
4890,400,3714.764190121688,0.99162017353922,8.69122090890236e-139,0.929032258064516,2.1522265904399505e-66
11876,400,6893.0619868841095,0.9940446650124068,3.609094891454714e-150,0.9384615384615383,1.037586422990099e-67
14371,400,5357.02034114334,0.9909690063378166,2.697531289398195e-136,0.9244003308519438,9.439084656201789e-66
3393,400,5795.980209314637,0.99172764773751,3.2298061685670142e-139,0.929032258064516,2.1522265904399505e-66
2395,400,4661.153277166747,0.9931311343269428,2.064612224583703e-145,0.9349875930521092,3.1821568210318536e-67
7385,400,5606.744840080063,0.989407469456781,5.479572980089197e-131,0.919106699751861,5.0674428936804105e-65
12375,400,6068.721193032125,0.9901629498506423,1.89118343559041e-133,0.9215880893300248,2.307734521759104e-65
5888,400,7979.541230448387,0.9835975407374624,1.847048954182668e-116,0.8959470636889991,7.062744651732427e-62
898,400,5642.0975718272775,0.9953153893568932,3.5664552151145288e-158,0.949048800661704,3.3242681505831813e-69
9880,400,5803.524163120477,0.9947558913246194,2.0699486969287572e-154,0.9449131513647644,1.280561287776987e-68
14870,400,4513.784186547025,0.9925400262363482,1.163589901582162e-142,0.9311827956989248,1.0807208920347536e-66
2894,400,5540.867698498711,0.9927075595454472,2.0369470025994226e-143,0.9333333333333332,5.4181615006802675e-67
8882,400,6550.62079349626,0.9884876167596528,3.2242166003853597e-128,0.9133167907361456,3.149960759641229e-64
4391,400,4712.978460708867,0.9911144126060912,7.772171681511065e-137,0.925889164598842,5.873634341631872e-66
5389,400,4842.575320789711,0.9923408828689289,8.780762638792567e-142,0.9320099255583127,8.288262224315916e-67
13872,400,5078.7411541650345,0.9885223878238052,2.5576408054092907e-128,0.9153019023986766,1.685789975733573e-64
1896,400,5242.36628842848,0.9913767760901516,7.808472702172993e-138,0.929859387923904,1.6515898978741752e-66
6387,400,4292.012971303144,0.9946989932196424,4.7413752470798876e-154,0.9468982630272952,6.707790309127178e-69
399,400,4232.110453927158,0.9931342953327748,1.9929548007994438e-145,0.9381306865177832,1.1546587774058856e-67
6886,400,4676.1053570322665,0.995119406995306,8.309340515093238e-157,0.9468982630272952,6.707790309127178e-69
1397,400,8020.222168182016,0.9862622686538856,2.4081210578604128e-122,0.9053763440860216,3.788415738378348e-63
13373,400,4910.766393803102,0.9937443694583616,1.5761167015006614e-148,0.9401157981803144,6.0762187673900596e-68
3892,400,6136.429508420545,0.9914621232476172,3.641993621270408e-138,0.9273779983457404,3.652200378093755e-66
12376,401,4723.30961478403,0.994167944239857,7.242755953371715e-151,0.9411083540115798,4.405586113038326e-68
3893,401,4663.626342548446,0.9951573390652904,4.5631961251368135e-157,0.9483870967741936,4.126477972216934e-69
7885,401,5300.087656897845,0.9955524647942974,6.598444281482888e-160,0.9500413564929696,2.402972661796294e-69
13374,401,5788.506040831639,0.9909753283494804,2.556537110068438e-136,0.9253928866832092,6.880465536406949e-66
