,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
1368,1368,belgium,1000000,1000,2020-01-01,2020-12-31,hybrid,857321.0,8652.0,415901,42.178,0.0196,1.833,19.986,15.998,20.0,681809,1813039,4428725,10000211,16923784,681809,1813039,10000211,4428725,0.9821143
3125,3125,slovenia,1000000,1000,2020-01-01,2020-12-31,hybrid,806669.0,8108.0,947881,43.981,0.01597,1.903,19.996,16.005,20.0,731542,1546169,4611135,9999774,16888620,731542,1546169,9999774,4611135,1.0007136
3592,3592,russia,1000000,1000,2020-01-01,2020-12-31,hybrid,790290.0,5852.0,114421,40.278,0.01553,1.989,20.01,16.003,20.006,790704,1771196,4690016,10003060,17254976,790704,1771196,10003060,4690016,0.9576575
2650,2650,chad,1000000,1000,2020-01-01,2020-12-31,hybrid,923412.0,1038.0,977088,21.264,0.02869,4.823,20.002,15.993,20.002,2391134,4123273,2895533,10000982,19410922,2391134,4123273,10000982,2895533,0.7127484
321,321,jamaica,1000000,1000,2020-01-01,2020-12-31,hybrid,915958.0,4154.0,298380,33.651,0.02609,2.356,19.991,16.0,19.996,1027774,2552827,4433018,9998106,18011725,1027774,2552827,9998106,4433018,0.8900305
2831,2831,philippines,1000000,1000,2020-01-01,2020-12-31,hybrid,903163.0,2335.0,981290,29.156,0.02264,3.364,20.007,16.002,20.003,1615799,3119703,4069209,10001541,18806252,1615799,3119703,10001541,4069209,0.83135056
3113,3113,yemen,1000000,1000,2020-01-01,2020-12-31,hybrid,942651.0,1194.0,214765,23.835,0.02694,5.684,19.987,16.002,20.004,2832190,3720173,3477057,10002148,20031568,2832190,3720173,10002148,3477057,0.7628416
4669,4669,greece,1000000,1000,2020-01-01,2020-12-31,hybrid,940728.0,12183.0,991080,45.186,0.02895,1.884,19.996,16.003,19.999,718557,1573393,4519203,9999424,16810577,718557,1573393,9999424,4519203,1.0171363
4268,4268,thailand,1000000,1000,2020-01-01,2020-12-31,hybrid,967536.0,6036.0,942630,39.626,0.0343,2.886,19.988,15.996,20.001,1344999,1915334,4855748,10000384,18116465,1344999,1915334,10000384,4855748,0.95472157
330,330,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,903609.0,8944.0,647774,41.811,0.0249,1.781,20.017,15.99,20.002,645621,2146677,4159510,10000751,16952559,645621,2146677,10000751,4159510,0.9708928
1991,1991,moldova,1000000,1000,2020-01-01,2020-12-31,hybrid,827417.0,4262.0,878720,38.977,0.01581,2.22,20.013,16.015,19.999,941984,1748644,5074855,9999306,17764789,941984,1748644,9999306,5074855,0.95706964
